ShiftDate,ActualDate,Shift,ProdCat,CycleTime,BCT,Line,Model,PlanMP,Leader,Good,Reject,GrossOutput,StartTime,StopTime,GrossAvailability,ScheduleTimeMin,ScheduledBreak,MaterialShort,DefectiveComponent,COOnline,PredictiveMaintenance,EquipmentDT,ProcessQualityDT,OtherDT,TotalDowntime,NetOperatingTime,NetOutput,IdealOperatingTime,Availability,Performance,Quality,ActualOEE,TargetOEE,ActualPPH,SORemark,ProdRemark,AVLoss,PFLoss,QLoss,
2023-12-01,12/2/2023 4:29:44 AM,Night,JBJ/JTE,13.28,13.28,Line7,JBJ7635.AS,4.0,HAFIZ,134,0,134,12/2/2023 4:29:44 AM,12/2/2023 4:56:12 AM,0.44,26.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.40,119.26,29.660000,1.000000,1.119200,1.000000,1.000000,0.810000,75.85,176327-0,,,,,
2023-12-01,12/1/2023 9:51:59 AM,Day,JBJ/JTE,14.48,14.47,Line1,JTE769,5.0,SHANKAR,8,0,8,12/1/2023 9:51:59 AM,12/1/2023 10:19:58 AM,0.47,28.20,0.00,0.00,27.30,0.00,0.00,0.00,0.00,0.00,27.30,0.90,2.49,1.930000,0.025000,1.000000,1.000000,0.025000,0.810000,137.14,176138-1,,,,,
2023-12-01,12/1/2023 11:26:54 AM,Day,JTC,37.99,13.31,Line6,JTC1401.ZFB,3.0,ROSHAN,340,0,340,12/1/2023 11:26:54 AM,12/1/2023 1:35:33 PM,2.14,128.40,30.60,0.00,0.00,5.80,0.00,0.00,0.00,0.00,36.40,92.00,194.28,75.420000,0.717000,0.818000,1.000000,0.586500,0.760000,73.75,176150-0,,,,,
2023-12-01,12/1/2023 1:30:39 PM,Day,JTC,56.98,19.97,Line6,JTC1401.ZFB,2.0,ROSHAN,1410,0,1410,12/1/2023 1:30:39 PM,12/1/2023 7:58:45 PM,6.47,388.20,31.70,0.00,0.00,0.00,0.00,0.00,0.00,1.30,33.00,355.20,407.51,469.300000,0.915000,1.000000,1.000000,0.915000,0.760000,119.12,176150-1,,,,,
2023-12-01,12/2/2023 4:31:12 AM,Night,JTC,28.49,9.98,Line5,JTC1401.ZFB,4.0,KAMIL,1058,0,1058,12/2/2023 4:31:12 AM,12/2/2023 7:55:23 AM,3.40,204.00,17.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.90,186.10,429.62,175.980000,0.912300,0.944600,1.000000,0.861800,0.760000,85.19,176330-0,,,,,
2023-12-01,12/1/2023 6:42:33 PM,Day,JBJ/JTE,11.21,11.22,Line2,JTE1075,6.0,RIZMAN,122,0,122,12/1/2023 6:42:33 PM,12/2/2023 1:52:17 AM,7.16,429.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,429.60,2298.36,22.810000,1.000000,0.053100,1.000000,0.053100,0.810000,2.84,176255-0,,,,,
2023-12-04,12/4/2023 11:16:51 AM,Day,JTS,32.81,32.81,Line5,JTS566,4.0,SHANKAR,205,0,205,12/4/2023 11:16:51 AM,12/4/2023 12:01:27 PM,0.74,44.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.40,81.19,112.100000,1.000000,1.000000,1.000000,1.000000,0.810000,68.95,176290-0,,,,,
2023-12-04,12/4/2023 8:20:32 AM,Day,JTC,37.99,13.31,Line5,JTC1401.ZFB,3.0,SHANKAR,46,0,46,12/4/2023 8:20:32 AM,12/4/2023 8:23:21 AM,0.05,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.74,10.200000,1.000000,1.000000,1.000000,1.000000,0.760000,328.57,176330-1,,,,,
2023-12-04,12/4/2023 8:56:05 AM,Day,JTC,37.99,13.31,Line5,JTC1401.ZFB,3.0,SHANKAR,531,0,531,12/4/2023 8:56:05 AM,12/4/2023 9:59:12 AM,1.05,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,99.51,117.790000,1.000000,1.000000,1.000000,1.000000,0.760000,168.30,176330-2,,,,,
2023-12-04,12/5/2023 6:56:09 AM,Night,JBJ/JTE,14.48,14.47,Line4,JTE1045,5.0,HAFIZ,40,0,40,12/5/2023 6:56:09 AM,12/5/2023 6:56:42 AM,0.01,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,2.49,9.650000,1.000000,1.000000,1.000000,1.000000,0.810000,800.00,176223-0,,,,,
